Ticker,Company,Price,Change,% Change
AAPL,Apple Inc.,220.82,-1.56,-0.7
AMD,"Advanced Micro Devices, Inc.",134.35,-5.09,-3.65
AMZN,"Amazon.com, Inc.",171.39,-6.5,-3.65
BABA,Alibaba Group Holding Limited,81.18,-1.25,-1.52
CRM,"Salesforce, Inc.",243.97,-2.15,-0.87
EA,Electronic Arts Inc.,144.01,-1.9,-1.3
GOOG,Alphabet Inc.,152.13,-6.47,-4.08
INTC,Intel Corporation,18.89,-0.51,-2.63
META,"Meta Platforms, Inc.",500.27,-16.59,-3.21
MSFT,Microsoft Corporation,401.7,-6.69,-1.64
MTCH,"Match Group, Inc.",35.82,-0.69,-1.89
NVDA,NVIDIA Corporation,102.83,-4.38,-4.09
PYPL,"PayPal Holdings, Inc.",68.89,-3.14,-4.36
TSLA,"Tesla, Inc.",210.73,-19.44,-8.45
TTD,"The Trade Desk, Inc.",100.31,-3.23,-3.12
YELP,Yelp Inc.,33.87,-0.42,-1.22
ZG,"Zillow Group, Inc.",51.53,-0.44,-0.85
